 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.78 	 W: 0.25 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.78 	 W: 0.51 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.76 	 W: 0.25 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.33 	 V: 0.76 	 W: 0.25 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.76 	 W: 0.49 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.73 	 W: 0.24 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.73 	 W: 0.47 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.70 	 W: 0.23 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.70 	 W: 0.46 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.70 	 W: 0.23 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.67 	 W: 0.44 	 Thr: 0 	 Hz: 84
